date,merchant,amount
2024-01-02,Zomato,180
2024-01-03,BMTC Bus,30
2024-01-04,Swiggy,150
2024-01-05,BMTC Bus,30
2024-01-06,Local Canteen,120
2024-01-07,BMTC Bus,60
2024-01-08,Zomato,210
2024-01-09,BESCOM Electricity,280
2024-01-10,BMTC Bus,30
2024-01-11,Swiggy,190
2024-01-12,BMTC Bus,30
2024-01-13,Local Grocery Store,450
2024-01-14,Zomato,160
2024-01-15,BMTC Bus,60
2024-01-16,Swiggy,175
2024-01-17,BMTC Bus,30
2024-01-18,Local Canteen,140
2024-01-19,Hotstar,99
2024-01-20,BMTC Bus,30
2024-01-21,Zomato,195
2024-01-22,BMTC Bus,30
2024-01-23,Local Grocery Store,380
2024-01-24,Swiggy,165
2024-01-25,BMTC Bus,60
2024-01-26,Local Canteen,130
2024-01-27,BMTC Bus,30
2024-01-28,Zomato,220
2024-01-29,BESCOM Electricity,120
2024-01-30,BMTC Bus,30
