date,merchant,amount
2024-01-01,Indigo Airlines,8500
2024-01-02,OYO Rooms,3200
2024-01-03,Uber,450
2024-01-04,Swiggy,680
2024-01-05,Petrol HP Pump,3800
2024-01-06,Zomato,720
2024-01-07,Amazon Shopping,6500
2024-01-08,Uber,380
2024-01-09,Swiggy,590
2024-01-10,Croma Electronics,12000
2024-01-11,Ola Cabs,420
2024-01-12,Indigo Airlines,7200
2024-01-13,Marriott Hotel,8000
2024-01-14,Uber,310
2024-01-15,Swiggy,640
2024-01-16,Petrol HP Pump,4200
2024-01-17,Zomato,580
2024-01-18,Apple Store,45000
2024-01-19,Uber,390
2024-01-20,Swiggy,720
2024-01-21,BESCOM Electricity,2800
2024-01-22,Ola Cabs,350
2024-01-23,Zomato,490
2024-01-24,Petrol HP Pump,3600
2024-01-25,Uber,280
2024-01-26,Swiggy,610
2024-01-27,Amazon Shopping,4800
2024-01-28,Ola Cabs,370
2024-01-29,Zomato,530
2024-01-30,Petrol HP Pump,3200
