date,merchant,amount
2024-01-02,Swiggy,380
2024-01-03,Namma Metro,90
2024-01-04,DMart Grocery,1600
2024-01-05,Uber,240
2024-01-06,BESCOM Electricity,980
2024-01-07,Zomato,420
2024-01-08,Namma Metro,45
2024-01-09,Myntra,1800
2024-01-10,Swiggy,350
2024-01-11,Petrol HP Pump,1800
2024-01-12,DMart Grocery,1400
2024-01-13,Namma Metro,90
2024-01-14,Zomato,390
2024-01-15,Uber,210
2024-01-16,Swiggy,410
2024-01-17,BESCOM Electricity,520
2024-01-18,Amazon Shopping,1900
2024-01-19,Namma Metro,45
2024-01-20,Zomato,460
2024-01-21,Swiggy,340
2024-01-22,Uber,280
2024-01-23,DMart Grocery,1750
2024-01-24,Netflix,199
2024-01-25,Namma Metro,90
2024-01-26,Swiggy,390
2024-01-27,BESCOM Electricity,460
2024-01-28,Zomato,430
2024-01-29,Uber,220
2024-01-30,DMart Grocery,1300
