date,merchant,amount
2024-01-01,Swiggy,680
2024-01-02,Zomato,520
2024-01-03,Swiggy,450
2024-01-04,Cafe Coffee Day,380
2024-01-05,Zomato,610
2024-01-06,Swiggy,490
2024-01-07,Burger King,340
2024-01-08,Zomato,570
2024-01-09,Swiggy,420
2024-01-10,KFC,390
2024-01-11,Zomato,650
2024-01-12,Swiggy,510
2024-01-13,McDonald's,280
2024-01-14,Zomato,480
2024-01-15,Swiggy,590
2024-01-16,Dominos Pizza,460
2024-01-17,Zomato,540
2024-01-18,Swiggy,470
2024-01-19,Cafe Coffee Day,310
2024-01-20,Zomato,620
2024-01-21,Swiggy,440
2024-01-22,Pizza Hut,520
2024-01-23,Zomato,490
2024-01-24,Swiggy,630
2024-01-25,BESCOM Electricity,1100
2024-01-26,Namma Metro,90
2024-01-27,Zomato,560
2024-01-28,Swiggy,480
2024-01-29,DMart Grocery,1400
2024-01-30,Zomato,510
