date,merchant,amount
2024-01-01,Myntra,4500
2024-01-02,Amazon Shopping,3800
2024-01-03,Zomato,420
2024-01-04,Ajio,2900
2024-01-05,Uber,280
2024-01-06,H&M,3200
2024-01-07,Swiggy,380
2024-01-08,Croma Electronics,8500
2024-01-09,Ola Cabs,220
2024-01-10,Myntra,5100
2024-01-11,Zomato,460
2024-01-12,Amazon Shopping,6200
2024-01-13,Uber,310
2024-01-14,Shoppers Stop,4800
2024-01-15,Swiggy,410
2024-01-16,Reliance Digital,7200
2024-01-17,Ola Cabs,190
2024-01-18,Myntra,3600
2024-01-19,Zomato,490
2024-01-20,Amazon Shopping,5400
2024-01-21,BESCOM Electricity,1200
2024-01-22,Uber,260
2024-01-23,Zara,4100
2024-01-24,Swiggy,370
2024-01-25,Myntra,2800
2024-01-26,Amazon Shopping,3200
2024-01-27,Cafe Coffee Day,320
2024-01-28,Lifestyle Fashion,3900
2024-01-29,Uber,290
2024-01-30,Zomato,440
