date,merchant,amount
2024-01-02,Namma Metro,90
2024-01-03,Nature's Basket,1200
2024-01-04,BESCOM Electricity,620
2024-01-05,Namma Metro,45
2024-01-06,Cult.fit Gym,1500
2024-01-07,Organic Mandya,800
2024-01-08,Namma Metro,90
2024-01-09,Local Vegetable Market,350
2024-01-10,Spotify,129
2024-01-11,Namma Metro,45
2024-01-12,Fabindia,1800
2024-01-13,IRCTC Train Ticket,450
2024-01-14,Namma Metro,90
2024-01-15,Nature's Basket,950
2024-01-16,Yoga Studio,800
2024-01-17,Namma Metro,45
2024-01-18,Second Hand Books,320
2024-01-19,BESCOM Electricity,180
2024-01-20,Namma Metro,90
2024-01-21,Local Grocery Store,760
2024-01-22,Spotify,129
2024-01-23,Namma Metro,45
2024-01-24,Organic Cafe,420
2024-01-25,Repair Shop,250
2024-01-26,Namma Metro,90
2024-01-27,Nature's Basket,1100
2024-01-28,IRCTC Train Ticket,680
2024-01-29,Namma Metro,45
2024-01-30,Local Vegetable Market,290
