date,merchant,amount
2024-01-02,Swiggy,480
2024-01-03,Ola Cabs,220
2024-01-04,BESCOM Electricity,1450
2024-01-05,Zomato,390
2024-01-06,Uber,310
2024-01-07,Myntra,2800
2024-01-08,Swiggy,520
2024-01-09,Namma Metro,45
2024-01-10,Croma Electronics,5500
2024-01-11,Uber,180
2024-01-12,Zomato,610
2024-01-13,DMart Grocery,1900
2024-01-14,Swiggy,450
2024-01-15,Netflix,199
2024-01-16,Ola Cabs,260
2024-01-17,Petrol HP Pump,2400
2024-01-18,Amazon Shopping,3100
2024-01-19,Swiggy,490
2024-01-20,Cafe Coffee Day,380
2024-01-21,Uber,290
2024-01-22,Zomato,540
2024-01-23,Reliance Digital,4200
2024-01-24,Swiggy,420
2024-01-25,Ola Cabs,200
2024-01-26,BESCOM Electricity,380
2024-01-27,Hotstar,299
2024-01-28,DMart Grocery,2100
2024-01-29,Swiggy,510
2024-01-30,Uber,240
