date,merchant,amount
2024-01-02,BESCOM Electricity,2800
2024-01-03,Swiggy,520
2024-01-04,DMart Grocery,1800
2024-01-05,BESCOM Electricity,680
2024-01-06,Zomato,480
2024-01-07,Amazon Shopping,2100
2024-01-08,BESCOM Electricity,540
2024-01-09,Swiggy,560
2024-01-10,Hotstar,299
2024-01-11,BESCOM Electricity,620
2024-01-12,DMart Grocery,2200
2024-01-13,Zomato,510
2024-01-14,BESCOM Electricity,490
2024-01-15,Swiggy,590
2024-01-16,Amazon Shopping,3400
2024-01-17,BESCOM Electricity,710
2024-01-18,Netflix,649
2024-01-19,Zomato,440
2024-01-20,BESCOM Electricity,580
2024-01-21,DMart Grocery,1950
2024-01-22,Swiggy,530
2024-01-23,BESCOM Electricity,460
2024-01-24,Amazon Shopping,1800
2024-01-25,Zomato,470
2024-01-26,BESCOM Electricity,640
2024-01-27,Swiggy,500
2024-01-28,DMart Grocery,1700
2024-01-29,BESCOM Electricity,520
2024-01-30,Spotify,129
