date,merchant,amount
2024-01-02,Tata Power EV Charging,480
2024-01-03,Nature's Basket,1100
2024-01-04,BESCOM Electricity,1800
2024-01-05,Tata Power EV Charging,320
2024-01-06,Zomato,380
2024-01-07,Namma Metro,90
2024-01-08,Tata Power EV Charging,410
2024-01-09,DMart Grocery,1650
2024-01-10,Spotify,129
2024-01-11,Tata Power EV Charging,290
2024-01-12,Swiggy,420
2024-01-13,Namma Metro,45
2024-01-14,Tata Power EV Charging,380
2024-01-15,Local Vegetable Market,480
2024-01-16,BESCOM Electricity,950
2024-01-17,Tata Power EV Charging,360
2024-01-18,Zomato,440
2024-01-19,Namma Metro,90
2024-01-20,Tata Power EV Charging,420
2024-01-21,Amazon Shopping,1800
2024-01-22,Swiggy,390
2024-01-23,Namma Metro,45
2024-01-24,Tata Power EV Charging,350
2024-01-25,Nature's Basket,920
2024-01-26,BESCOM Electricity,680
2024-01-27,Tata Power EV Charging,300
2024-01-28,Zomato,410
2024-01-29,Namma Metro,90
2024-01-30,DMart Grocery,1300
