date,merchant,amount
2024-01-01,Indigo Airlines,6800
2024-01-02,Taj Hotel Mumbai,12000
2024-01-03,Uber,520
2024-01-04,Swiggy,480
2024-01-05,Uber,380
2024-01-06,Spicejet Airlines,4500
2024-01-07,Radisson Hotel,7500
2024-01-08,Ola Cabs,290
2024-01-09,Zomato,560
2024-01-10,Petrol HP Pump,3100
2024-01-11,Air India,9200
2024-01-12,Hyatt Hotel,11000
2024-01-13,Uber,440
2024-01-14,Swiggy,510
2024-01-15,Myntra,3400
2024-01-16,Indigo Airlines,7600
2024-01-17,Holiday Inn,6800
2024-01-18,Uber,360
2024-01-19,Zomato,490
2024-01-20,Amazon Shopping,2800
2024-01-21,Vistara Airlines,8100
2024-01-22,OYO Rooms,4200
2024-01-23,Uber,310
2024-01-24,Swiggy,440
2024-01-25,Ola Cabs,270
2024-01-26,Petrol HP Pump,2900
2024-01-27,Cafe Coffee Day,340
2024-01-28,Uber,390
2024-01-29,Zomato,520
2024-01-30,BESCOM Electricity,1600
